date_time,bs_410nm,bs_435nm,bs_460nm,bs_485nm,bs_510nm,bs_535nm,bs_560nm,bs_585nm,bs_610nm,bs_645nm,bs_680nm,bs_705nm,bs_730nm,bs_760nm,bs_810nm,bs_860nm,bs_900nm,bs_940nm,tx_410nm,tx_435nm,tx_460nm,tx_485nm,tx_510nm,tx_535nm,tx_560nm,tx_585nm,tx_610nm,tx_645nm,tx_680nm,tx_705nm,tx_730nm,tx_760nm,tx_810nm,tx_860nm,tx_900nm,tx_940nm
2024-07-08 14:56,97.114,266.87800000000004,940.35,182.278,347.18199999999996,580.606,122.272,155.494,934.7860000000001,137.852,285.988,57.448,119.172,79.402,206.41,467.492,136.598,62.432,265.898,165.23999999999998,436.36400000000003,296.87,398.968,453.23199999999997,4057.2840000000006,1765.97,4601.2300000000005,585.2439999999999,354.256,766.842,162.112,206.3,482.91,481.3,213.042,108.19000000000001
2024-07-08 15:01,96.95599999999999,267.666,941.6379999999999,182.608,347.03,581.3019999999999,122.1,155.16799999999998,934.7879999999999,137.564,285.578,57.312,119.02000000000001,79.23599999999999,206.898,465.582,136.37399999999997,62.432,265.568,165.044,436.178,296.17199999999997,398.818,454.11,4070.1059999999998,1774.604,4579.746,585.054,352.748,767.296,161.95999999999998,206.968,481.31399999999996,481.302,213.17600000000002,108.0
2024-07-08 15:06,98.21,261.55,913.34,174.86,345.83,568.64,121.42,154.2,924.07,136.62,283.94,56.7,117.66,79.07,236.97,510.82,139.07,61.04,265.4,165.44,433.57,293.2,397.6,454.4,4038.96,1750.38,4529.08,580.64,346.72,759.6,161.04,206.97,483.8,494.36,215.43,107.43
2024-07-08 15:07,95.2675,265.245,952.62,183.1025,349.0175,574.5525,122.3775,155.82,933.4425,137.8,286.7575,57.21,118.42,79.07,199.175,460.64,135.56,62.78,263.56,164.6975,435.2,296.9175,397.6,451.48,4093.9224999999997,1780.2425,4628.315,587.35,353.71999999999997,773.52,161.8075,204.88,481.8025,473.37,213.11,108.62
2024-07-08 15:12,95.226,265.69,937.78,181.78199999999998,345.83399999999995,578.242,122.01599999999999,155.08999999999997,933.07,137.272,284.756,57.108000000000004,118.718,79.07,207.22600000000003,468.98,136.486,62.432,262.784,164.254,435.244,295.296,398.512,451.77200000000005,4078.696,1774.1559999999997,4612.09,585.53,351.45799999999997,768.472,161.95999999999998,206.132,482.2,478.96999999999997,212.91199999999998,108.19000000000001
2024-07-08 15:17,94.596,265.098,935.574,181.618,345.08599999999996,578.104,121.92999999999999,155.00799999999998,932.4280000000001,137.054,285.168,57.176,118.87,79.23599999999999,207.224,468.554,136.486,62.432,258.358,163.26999999999998,433.566,294.246,396.994,452.064,4048.124,1762.378,4628.602,583.0400000000001,352.964,765.3059999999999,162.266,206.298,484.33000000000004,478.27200000000005,212.77799999999996,108.0
2024-07-08 15:22,95.06666666666666,263.52,931.1033333333334,180.08,346.3333333333333,573.9733333333334,121.42,154.47,929.4233333333333,136.74,283.93666666666667,56.92666666666667,118.16666666666667,79.07,213.0,478.60999999999996,137.01,62.199999999999996,260.2133333333333,162.80999999999997,431.7,292.32,395.83,449.77666666666664,4062.2466666666664,1769.82,4621.816666666667,586.2333333333332,352.1033333333333,766.54,161.80666666666664,206.41,486.16,486.19666666666666,213.66333333333333,108.38333333333333
2024-07-08 15:23,93.5,265.495,943.2,183.515,345.46,575.94,122.485,155.815,934.79,137.345,286.5,57.38,119.17,79.07,198.97,458.255,135.42,62.78,256.39,163.47,438.695,296.26,397.985,451.115,4111.1,1787.1100000000001,4669.875,586.63,355.875,772.0450000000001,162.95499999999998,206.55,482.46500000000003,475.70500000000004,212.445,107.905
2024-07-08 15:28,94.752,263.71799999999996,939.25,180.796,346.43199999999996,572.812,122.01399999999998,154.928,932.856,137.054,285.78200000000004,57.04,118.418,79.07,206.41,471.104,136.262,62.432,259.832,163.666,435.43,295.296,398.512,451.04200000000003,4043.774,1758.4540000000002,4624.304,584.574,353.61199999999997,767.024,161.654,205.798,485.216,479.434,213.308,107.80999999999999
2024-07-08 15:33,94.284,264.31,943.658,180.958,347.332,573.786,122.102,154.928,930.7119999999999,137.05599999999998,285.57599999999996,56.972,118.11600000000001,79.07,207.388,471.53000000000003,136.262,62.432,257.212,163.85999999999999,435.43199999999996,295.822,397.906,451.334,4054.31,1764.622,4581.3279999999995,583.7099999999999,350.596,767.746,160.88799999999998,206.132,478.658,478.96999999999997,213.31,108.38199999999999
2024-07-08 15:38,93.8925,263.5225,938.6075000000001,180.2175,347.1425,572.115,121.845,154.805,930.495,137.165,285.475,56.87,118.23,79.07,209.39,476.03999999999996,136.5425,62.345,258.645,163.4675,432.6325,294.5075,397.03499999999997,450.385,4021.79,1745.6100000000001,4592.41,582.4425,351.565,762.425,161.0425,205.925,484.0175,479.2,213.44,108.14500000000001
2024-07-08 15:39,93.5,264.51,945.5,183.1,346.58,572.12,123.13,156.62,933.71,137.71,285.99,57.38,118.42,79.07,197.75,460.91,135.7,62.78,253.94,164.45,434.5,299.32,397.6,452.21,4034.38,1749.82,4646.69,578.73,352.1,765.48,161.81,204.46,479.37,471.04,210.79,108.38
